category,articuls,new_price,old_price,vin
CD-чейнджер б/у,54041175,51.0,60.0,WBAAL31040FH14142;
CD-чейнджер б/у,53402846,31.0,45.0,WBABV72040JZ80386;
CD-чейнджер б/у,53251880,37.0,54.0,WBAAX71040PE64102;
CD-чейнджер б/у,53253351,37.0,54.0,WBAEP710X0PF32016;
Активатор (привод) замка багажника б/у,900593278,25.0,30.0,WBABX92050PN83367;
Активатор (привод) замка багажника б/у,900399345,10.0,15.0,WBABL3208JP65043;
Активатор (привод) замка багажника б/у,900550885,24.0,30.0,WBAAX71030JW86100;
Активатор (привод) замка багажника б/у,900399346,10.0,15.0,WBAAT71080KU00540;
Активатор (привод) замка багажника б/у,900591503,25.0,30.0,WBAEX51030PP73028;
Активатор (привод) замка багажника б/у,900591470,25.0,30.0,WBAAR110X0JL50516;
Активатор (привод) замка багажника б/у,900571289,24.0,30.0,WBAAM31090AZ45173;
Активатор (привод) замка багажника б/у,900593279,25.0,30.0,WBAAL31040FH14142;
Активатор (привод) замка багажника б/у,900571291,24.0,30.0,WBAEY31030KS44144;
Активатор (привод) замка багажника б/у,900560470,24.0,30.0,WBAAV11050FU01855;
Активатор (привод) замка багажника б/у,900559502,24.0,30.0,WBAAX51090PD30741;
Активатор (привод) замка багажника б/у,900323050,10.0,15.0,WBAAT51040FW34834;
Активатор (привод) замка багажника б/у,900505725,24.0,30.0,WBAAP91050JH87668;
Активатор (привод) замка багажника б/у,900536296,24.0,30.0,WBAAX71090JR72162;
Активатор (привод) замка багажника б/у,900594633,25.0,30.0,WBAAY31070KP09863;
Активатор (привод) замка багажника б/у,900559487,24.0,30.0,WBAAW11090JV12662;
Активатор (привод) замка двери задней левой б/у,900521310,10.0,15.0,WBAAP71090JL46806;
Активатор (привод) замка двери задней левой б/у,900587358,24.0,30.0,WBAAS71030PM86510;
Активатор (привод) замка двери задней левой б/у,900533747,10.0,15.0,WBAAP71070PP20116;
Активатор (привод) замка двери задней левой б/у,900521318,10.0,15.0,WBAAX71070JR70572;
